id_historico_tasas_gen,fecha,tasa,nodo,curva,expectativa,precio,duracion
306129,2021-04-11,-3.34,nodo_1,Gen Tesoros inflación,FALSE,,
307493,2021-04-11,-2.84,nodo_2,Gen Tesoros inflación,FALSE,,
308857,2021-04-11,-2.39,nodo_3,Gen Tesoros inflación,FALSE,,
310221,2021-04-11,-1.99,nodo_4,Gen Tesoros inflación,FALSE,,
312949,2021-04-11,-1.34,nodo_6,Gen Tesoros inflación,FALSE,,
314313,2021-04-11,-1.09,nodo_7,Gen Tesoros inflación,FALSE,,
315677,2021-04-11,-0.89,nodo_8,Gen Tesoros inflación,FALSE,,
317041,2021-04-11,-0.74,nodo_9,Gen Tesoros inflación,FALSE,,
318405,2021-04-11,-0.64,nodo_10,Gen Tesoros inflación,FALSE,,
320400,2021-04-11,0.112473439,nodo_2,Gen tesoros,FALSE,108.54217,
320401,2021-04-11,0.65316316,nodo_4,Gen tesoros,FALSE,113.3794051,
320402,2021-04-11,0.886112798,nodo_5,Gen tesoros,FALSE,116.1135717,
320403,2021-04-11,1.094132287,nodo_6,Gen tesoros,FALSE,118.803287,
320404,2021-04-11,1.277221628,nodo_7,Gen tesoros,FALSE,121.2740754,
320405,2021-04-11,1.435380821,nodo_8,Gen tesoros,FALSE,123.3294058,
320406,2021-04-11,1.568609865,nodo_9,Gen tesoros,FALSE,124.8041145,
320407,2021-04-11,1.676908762,nodo_10,Gen tesoros,FALSE,125.6525479,
320408,2021-04-11,0.395283374,nodo_3,Gen tesoros,FALSE,110.792613,
320409,2021-04-11,-0.195266644,nodo_1,Gen tesoros,FALSE,106.787074,
311585,2021-04-11,-1.64,nodo_5,Gen Tesoros inflación,FALSE,,
